"Week","Geography","QuantityConventional","QuantityOrganic","ASPConventional","ASPOrganic","Month","Year"
2021-01-03,"Albany",150112.1699,5512.6254,1.194754605,1.268104158,1,2021
2021-01-03,"Atlanta",892386.7923,52018.48883,0.812572636,1.315940779,1,2021
2021-01-03,"Baltimore/Washington",1203423.07,113795.5751,1.073194045,1.156020643,1,2021
2021-01-03,"Birmingham/Montgomery",402306.6493,17699.49795,0.75731009,1.11138922,1,2021
2021-01-03,"Boise",138962.5284,7215.848361,1.033495979,1.535176061,1,2021
2021-01-03,"Boston",708477.8146,45758.56404,1.270214559,1.595626701,1,2021
2021-01-03,"Buffalo/Rochester",268850.2591,25090.86798,0.952804144,1.431114745,1,2021
2021-01-03,"Charlotte",469551.6506,31520.97803,0.862844233,1.210434174,1,2021
2021-01-03,"Chicago",1280576.061,115438.1901,0.981541354,1.219170585,1,2021
2021-01-03,"Cincinnati/Dayton",347087.9127,16991.07776,0.889851564,1.461749321,1,2021
2021-01-03,"Columbus",287083.536,14374.05671,0.865220122,1.441448211,1,2021
2021-01-03,"Dallas/Ft. Worth",1900546.166,85481.93231,0.618347795,1.163563143,1,2021
2021-01-03,"Denver",1131895.087,71113.99941,0.962055587,1.145873816,1,2021
2021-01-03,"Detroit",518854.0152,37086.13325,0.930550857,1.109228471,1,2021
2021-01-03,"Grand Rapids",228856.904,11270.46903,1.180101152,1.09425221,1,2021
2021-01-03,"Harrisburg/Scranton",445060.6092,29712.06401,0.970587588,1.127269881,1,2021
2021-01-03,"Hartford/Springfield",436269.7382,37509.63342,1.1765372,1.335829275,1,2021
2021-01-03,"Houston",1293665.742,24094.56293,0.669072229,1.30206057,1,2021
2021-01-03,"Indianapolis",298760.172,11735.2749,0.826338001,1.270583451,1,2021
2021-01-03,"Jacksonville",269329.3958,15791.22301,0.792363166,1.087756406,1,2021
2021-01-03,"Las Vegas",424891.8007,21034.25396,0.861826136,1.438462095,1,2021
2021-01-03,"Los Angeles",3474667.197,178645.4094,1.100506702,1.655254657,1,2021
2021-01-03,"Louisville",148814.1599,9338.979185,0.903119458,1.376426399,1,2021
2021-01-03,"Miami/Ft. Lauderdale",1195152.43,68381.44962,0.797533807,1.037762584,1,2021
2021-01-03,"Nashville",351731.1677,27548.10143,0.79727004,1.260185378,1,2021
2021-01-03,"Northern New England",553398.7488,20321.16544,1.121406572,1.709410803,1,2021
2021-01-03,"New Orleans/Mobile",356702.5739,13481.82752,0.699394627,1.011023958,1,2021
2021-01-03,"New York",2409532.248,194714.3831,1.059871546,1.285649078,1,2021
2021-01-03,"Orlando",724813.5552,41764.33787,0.751187481,1.014826451,1,2021
2021-01-03,"Peoria/Springfield",189091.4924,7951.241208,0.815375971,1.228665403,1,2021
2021-01-03,"Philadelphia",830538.5525,54007.47713,0.913780357,1.264770015,1,2021
2021-01-03,"Phoenix/Tucson",1464065.741,45111.60203,0.712007088,1.260723147,1,2021
2021-01-03,"Pittsburgh",200410.377,21287.6544,0.934601066,1.203683324,1,2021
2021-01-03,"Portland",777970.6016,53776.86291,1.02546979,1.607517274,1,2021
2021-01-03,"Providence",108934.6544,7184.038394,1.273896821,1.362504791,1,2021
2021-01-03,"Raleigh/Greensboro",574413.5577,33320.53037,0.850074275,1.282943123,1,2021
2021-01-03,"Richmond/Norfolk",394275.8958,38456.52545,0.870971897,1.016565292,1,2021
2021-01-03,"Roanoke",223085.0898,18380.10364,0.825809857,1.102070555,1,2021
2021-01-03,"Sacramento",573136.4996,21333.27602,1.114420371,1.814237578,1,2021
2021-01-03,"San Diego",602595.0972,38129.47527,1.168075115,1.745735265,1,2021
2021-01-03,"San Francisco",1043540.571,77029.39996,1.068050506,1.824962682,1,2021
2021-01-03,"Seattle",727598.2492,67992.07484,1.15751467,1.859131906,1,2021
2021-01-03,"South Carolina",629909.1461,38848.67828,0.818429039,1.203596007,1,2021
2021-01-03,"Spokane",105915.785,6640.098616,0.937284191,1.670937008,1,2021
2021-01-03,"St. Louis",332563.5479,17167.14467,0.734030833,1.188817813,1,2021
2021-01-03,"Syracuse",120228.0601,7973.611964,1.014661568,1.413752334,1,2021
2021-01-03,"Tampa",708682.6584,38630.06494,0.779253904,0.923112217,1,2021
2021-01-03,"Toledo",166038.5506,6238.393181,0.843544376,1.389646734,1,2021
2021-01-03,"West Tex/New Mexico",928775.02,89464.77954,0.687684346,1.034514547,1,2021
2021-01-03,"Wichita",127011.7757,5654.259683,0.723742755,1.246207894,1,2021
2021-01-03,"California",7305333.583,376178.6704,1.092302569,1.740611886,1,2021
2021-01-03,"Great Lakes",5245629.018,296746.0126,0.909005621,1.259101419,1,2021
2021-01-03,"Midsouth",4935644.587,379099.4319,0.904030743,1.193494193,1,2021
2021-01-03,"Northeast",6586438.016,494605.266,1.074509369,1.335182877,1,2021
2021-01-03,"Plains",2605939.78,83899.56214,0.853519811,1.202896459,1,2021
2021-01-03,"South Central",6401753.563,255273.4406,0.670002641,1.144418475,1,2021
2021-01-03,"Southeast",6433424.888,349291.1267,0.789197081,1.103462394,1,2021
2021-01-03,"West",8026504.079,447133.2874,0.894059044,1.397372476,1,2021
2021-01-03,"Total U.S.",47540667.51,2682226.798,0.905623095,1.321498743,1,2021
2021-01-10,"Albany",154619.1593,4634.662694,1.199772489,1.394194025,1,2021
2021-01-10,"Atlanta",932032.8349,50482.35589,0.800913637,1.424957877,1,2021
2021-01-10,"Baltimore/Washington",1366544.725,100970.8728,1.026430505,1.188109779,1,2021
2021-01-10,"Birmingham/Montgomery",406323.7051,16227.42035,0.759545402,1.182223586,1,2021
2021-01-10,"Boise",139469.945,7067.328766,1.020269332,1.484344105,1,2021
2021-01-10,"Boston",801653.5217,43245.67882,1.227183872,1.643097656,1,2021
2021-01-10,"Buffalo/Rochester",304319.1992,20044.12972,0.925579709,1.488287339,1,2021
2021-01-10,"Charlotte",446447.5065,27704.07012,0.94634859,1.279294042,1,2021
2021-01-10,"Chicago",1497026.93,75362.91305,0.956241521,1.433382943,1,2021
2021-01-10,"Cincinnati/Dayton",382326.479,20036.69957,0.881918708,1.502791018,1,2021
2021-01-10,"Columbus",336849.179,15301.12542,0.790039961,1.43295159,1,2021
2021-01-10,"Dallas/Ft. Worth",1587623.674,72093.62311,0.705126618,1.243973128,1,2021
2021-01-10,"Denver",1216898.23,56121.71312,0.899332793,1.219652184,1,2021
2021-01-10,"Detroit",695008.3,27146.65158,0.845230711,1.338706537,1,2021
